url,title,part_id,brand,availability,price,symptoms,product_types,installation_difficulty,installation_time,related_parts,replacement_parts,video_url,description
https://www.partselect.com/PS10065979-Whirlpool-W10712395-Upper-Rack-Adjuster-Kit.htm?SourceCode=18,Upper Rack Adjuster Kit W10712395,PS10065979,Whirlpool,In Stock,52.44,Door won’t close | Door latch failure | Not cleaning dishes properly | Noisy,Dishwasher.,N/A,N/A,N/A,"AP5957560,  W10250159,  W10350375,  W10712395VP",https://www.youtube.com/watch?v=pZO1rcMwKBc,"This authentic Dishwasher Upper Rack Adjuster Kit with white wheels is a kit made up of primarily plastic and metal components, which will require a screwdriver to install. This kit comes with all the necessary parts for a dishwasher rack adjuster.  It fits onto the dishwasher rack and connects it to the track allowing it to slide in and out. If broken then the rack will no longer slide properly, and the part must be replaced. In many cases, our customers have reported the top rack of their dishwasher hanging down or sagging due to the adjuster kit, particularly if the wheels, have broken or failed. If you are having problems in this area, this kit will help get your dishwasher back up and running. Check your model number and user manual to see if this part is right for you. The parts for this kit come as a package and are not generally sold individually."
https://www.partselect.com/PS11756150-Whirlpool-WPW10546503-Dishwasher-Upper-Rack-Adjuster.htm?SourceCode=18,Dishwasher Upper Rack Adjuster WPW10546503,PS11756150,Whirlpool,In Stock,32.54,Door won’t close | Door latch failure | Not cleaning dishes properly | Leaking,Dishwasher.,N/A,N/A,N/A,"AP6022813,  W10306646,  W10418314,  W10546502,  W10546503,  W10911100,  WPW10546503VP",https://www.youtube.com/watch?v=d6AvOkulk_g,"This OEM Dishwasher Upper Rack Adjuster is a grayish-black, plastic part which will require a screwdriver to install.  It fits onto the dishwasher rack and connects it to the track allowing it to slide in and out. If broken then the rack will no longer slide properly, and the part must be replaced. The installation has been rated as ""easy"" by customers. Before beginning any repair, you should unplug the dishwasher and wear gloves to protect your hands. Check your model number and user manual to see if this part is right for you! Your dishwasher should have a left and right upper rack adjuster, and both are the same part. These parts are sold individually, so if you are looking to replace both, you will need to order two parts."
https://www.partselect.com/PS11746591-Whirlpool-WP8565925-Dishwasher-Rack-Track-Stop.htm?SourceCode=18,Dishwasher Rack Track Stop WP8565925,PS11746591,Whirlpool,In Stock,10.44,Door latch failure | Not cleaning dishes properly | Door won’t close,Dishwasher.,N/A,N/A,N/A,"AP6013365,  8270105,  8270106,  8524581,  8524582,  8562015,  8565920,  8565925,  W10082860,  W10082861,  W10199682,  W10508950,  WP8565925VP,  WPW10082861VP,  WPW10508950,  WPW10508950VP",https://www.youtube.com/watch?v=siE-8HethWg,"The rack track stop on your dishwasher is designed to stop the dish rack at the appropriate place when opening and closing the rack. If your dishwasher is not cleaning your dishes properly, the rack stop may need to be replaced. The replacement part may differ slightly from the broken part, depending on the model. However, the different styles are interchangeable. This product is sold individually and comes in both a white and grey plastic version. Many of our customers found this repair to be very easy and takes less than 30 minutes to complete. Simply snap the old part out and snap the new part into place. You will not require any tools to complete the job. This is an authentic part approved by the manufacturer."
https://www.partselect.com/PS10064063-Whirlpool-W10712394-Dishwasher-Dish-Rack-Adjuster-Kit-Left-And-Right-Side.htm?SourceCode=18,Dishwasher Dish Rack Adjuster Kit (Left And Right Side) W10712394,PS10064063,Whirlpool,In Stock,47.95,Door won’t close | Not cleaning dishes properly | Door latch failure | Leaking,Dishwasher.,N/A,N/A,N/A,"AP5956100,  W10238417,  W10238418,  W10253546,  W10350376,  W10712394VP,  WPW10350376",https://www.youtube.com/watch?v=9bsgL4OExLo,"This rack adjuster kit (Dishrack Adjuster Kit, Adjuster Kit, Dishwasher Rack Adjuster) will adjust the height of the upper rack of your dishwasher. It connects to the dishrack.  The kit is constructed of grey plastic and metal, and measures approximately 12 inches wide and 6.5 inches tall. The rack adjuster can break from material fatigue or prolonged high temperature exposure. High temperature exposure can compromise the integrity of the materials. If the rack adjuster breaks, your upper rack may fall down, may be unlevel, or the door may not close. This kit includes the parts to replace the left and right-side rack adjusters and has been upgraded to a more durable metal design (2 adjuster assemblies, 1 left hand and 1 right hand actuator cover, 2 gray adjuster covers, and 2 gray adjuster housings)"
https://www.partselect.com/PS16618975-GE-WD28X30219-Upper-Rack-Assembly.htm?SourceCode=18,Upper Rack Assembly WD28X30219,PS16618975,GE,On Order,72.95,Not cleaning dishes properly,Dishwasher.,N/A,N/A,N/A,"WD28X10347,  WD28X10348,  WD28X10352,  WD28X22626,  WD28X22676,  WD28X23156,  WD28X24397,  WD28X24421,  WD28X25018,  WD28X25189,  WD28X25190,  WD28X25491,  WD28X25656,  WD28X26098,  WD28X26104,  WD28X27738,  WD28X27739,  WD28X27898,  WD28X27978",https://www.youtube.com/watch?v=OKPFZ1zxedc,This dishrack is for dishwashers. The dishrack holds the dishes in place during the dishwashing cycle. Follow the instructions in the manual when installing this part.
https://www.partselect.com/PS11750071-Whirlpool-WPW10195622-Dishwasher-Rack-Stop-Clip.htm?SourceCode=18,Dishwasher Rack Stop Clip WPW10195622,PS11750071,Whirlpool,In Stock,11.95,Door won’t close | Door latch failure | Not cleaning dishes properly,Dishwasher.,N/A,N/A,N/A,"AP6016778,  W10195622,  WPW10195622VP",https://www.youtube.com/watch?v=Z-etBPckwcA,"This manufacturer-approved Rack Stop Clip is a gray plastic part which can be installed with a screwdriver. Measuring slightly over an inch in length, it prevents the rack from sliding too far and falling off. If broken or damaged, then the rack will slide too far and this is a sign the part should be replaced. It attaches to the end of the top dishwasher rack. This clip can be used for the left or right side, and is sold individually. It is a good idea to replace both sides at once. To make this repair, start by pulling out the rack, then, using your screwdriver, reach in behind the rack stops and press the clips in. You should be able to remove the stops from the track from here. Next, you should be able to slide the track back over the rollers and snap the new track stop into place."
https://www.partselect.com/PS11748190-Whirlpool-WPW10082853-Dishwasher-Tine-Pivot.htm?SourceCode=18,Dishwasher Tine Pivot WPW10082853,PS11748190,Whirlpool,In Stock,9.95,Not cleaning dishes properly,Dishwasher.,N/A,N/A,N/A,"AP6014920,  W10082853,  WPW10082853VP",https://www.youtube.com/watch?v=I-Koizat7Os,"The tine pivot clip, also known as the tine row pivot, is used in dishwashers and is located in the upper dishrack. At around 3 inches in length, the clip is used to keep the tine row in place in the dishrack. If your clip is cracked or damaged, it is best to replace this part. To repair, first lift the release tab and hold the other side to prevent it from falling off. After lifting it off, you can set the new clip on the tine row and lock it up. Refer to the manual provided by the manufacturer for further installation instructions and guidance. Remember to wear work gloves as a safety precaution. This repair was rated as very easy by our customers and should be done in 15 minutes or less."
https://www.partselect.com/PS11750093-Whirlpool-WPW10195840-Dishwasher-Positioner.htm?SourceCode=18,Dishwasher Positioner WPW10195840,PS11750093,Whirlpool,In Stock,45.95,Door won’t close | Not cleaning dishes properly | Door latch failure,Dishwasher.,N/A,N/A,N/A,"AP6016800,  W10195840,  W10418323",https://www.youtube.com/watch?v=3no3S5XCunU,"Also known as rack adjuster. Sold individually. This is an original part from KitchenAid, Kenmore, Whirlpool, Jenn-Air, and Maytag for use with Dishwashers. The dishrack adjuster arm positioner clip holds the adjuster arm in the right position on the dishrack. The most common reason for replacing the strap is if the rack will not stay in its desired position. This part is sold individually. There are no tools needed to replace the positioner."
https://www.partselect.com/PS12584376-Whirlpool-W11259785-Dishwasher-Dish-Rack-Slide-Track-Left-Side.htm?SourceCode=18,Dishwasher Dish Rack Slide Track (Left Side) W11259785,PS12584376,Whirlpool,In Stock,58.62,Door won’t close | Door latch failure | Noisy,Dishwasher.,N/A,N/A,N/A,"AP6783992,  W10311157,  W10462359,  W10752595,  W10781301,  W10811586,  W10852728,  W10914015,  W10915185,  W11048934,  W11192640",https://www.youtube.com/watch?v=d6AvOkulk_g,"This is the dishrack slide track for the left side of various dishwashers. This track allows your upper dishrack to be supported and slide in and out of the dishwasher to place or remove dishes from the dishrack as necessary. If your left dishrack is currently broken or damaged, it needs to be replaced for your dishrack to be completely supported. Replacing this dishrack slide requires some disassembly of your dishwasher and will require a screwdriver to pull your dishwasher out from underneath your countertop, and remove the securing bolts from the slide track. This OEM dishrack slide track is sold individually and does not include the slide track for the right side of your dishwasher."
https://www.partselect.com/PS12584377-Whirlpool-W11259786-Dishwasher-Dishrack-Slide-Track-Right-Side.htm?SourceCode=18,Dishwasher Dishrack Slide Track (Right Side) W11259786,PS12584377,Whirlpool,In Stock,56.95,Door won’t close | Door latch failure,Dishwasher.,N/A,N/A,N/A,"W10311156,  W10462358,  W10752596,  W10781305,  W10811587,  W10852729,  W10914016,  W10915186,  W11048936,  W11192638",https://www.youtube.com/watch?v=d6AvOkulk_g,"This dish rack slide rail is a genuine OEM replacement part that is compatible with various models of dishwasher. It is designed to fit on the right side of the dishwasher. The slide rail or track supports the upper dish rack and allows it to slide in and out of the dishwasher smoothly so that you can easily load and unload your dishes. It is made of stainless steel and can be found mounted to the side of the interior cavity of the dishwasher. If your dish rack is unstable and difficult to pull in and out, you will likely need to replace the slide rail. Mounting hardware is sold separately."
